Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
UGA	1197162																	148			45													45345				275							423														154	211363	180								3529		1070					257						241			42														4065							418		210			43512																															30					221										691											180				316	76861																			28586		639007	62			64136																						1241	25321	994											
TZA	413309						1249																					141						175325				294											596	25017										88250																						967																	8010							575					27247							149							6907								192									14651		644													668																581												374							2967	712							88																	4857			1061		1291										8573	852
ZMB	155428						38542						274															953						3368			252	207							1045					8809										21743						170										72						289	181																4809									103			556														13988			225														1351		654								527																					7750										147										3190																								473			1335	6147	985											17768
ZWE	403866																											3286																																																																																																	107849																	94382																																																			18610																											7560												30662	
Middle Africa	3436978			71			230131						10	21							324		51442										4526	39171	63243		81828	557			652655	95814			1148					28099			2469		536		7		104	453379	2					38		61444								40643			5084			936	4119		195						10165												10		11	585		21									2786		4351	1307								78316				3149									463	1792		5987			195				13856	127512													93434			126				2712	312500								59756		36235							43			42327	8749	1279			388632			12	145	19					17346				145	7				6224			260		1907										2072	
AGO	632178																																		61880							214								7118			272							255550																															2262																																																			1676		5987																					91875								7193								53977												42266																																							2072	
CMR	508357						2613																2454															182			268771	72077								3020										4170								3433								4720			1079			300			195						4681															519													4351									8388																			162				10741	108697																															3224																																					260		837											
CAF	81598												10	21																								186				10029															7			17219	2					38										9583																											10			66																						301																			33																									136									73									43			52					19546			12	145						9					7									548											
TCD	516968																																				36938				93259									852										306																1056			349																																									1307																															3115	2977																																														363465																																			
COG	392996						41238																15194														11300				32696	10565			924										536					170368								1582								10320			3163			579																																			1167											33918				3149																																	1441							2576	25119										13265																									2437														166											
COD	824492						185205																											39062							257929									6545																																																																																																																											280052																					8749				5621																			6224																
GNQ	209611																																				798																																							4561			256																																																																									359																													1493														1279																																						
GAB	268384			71			717														324		33794										4526	109			32792	189				2929			224					10564			2197						104	5766								56283								10403						57	4119								3222														11			21									1619											35709													463											15479																126					136								4213		19746										9										19					14900				145										356											
STP	2394						358																												1363																																	146											237																																																															116																							118																																																																				
Northern Africa	2354732	555	435	28378			32		19	279	434		1272	1426	37	17	1416	1533		1072	2687		42				399		401		77	77	74	42			859	3557			13554	75745		31	5041			65	5308	2344			1500	115			96	225	115	1380	1107	1839			14	37404	945		164099	30	64022				1108	52491				33		19258	876	11	4040					11	2087	1420					487		7506	17657	579	89942	107		790	16141		2291	28415	1039	3064		15278	70			17114		53	19682				46	32	11903	32	2629				3177			74		367	17			11885	19	14	298			2875		103		487	19126			470	2298	3148						5632	1101	51		1860	1048	70		866	16361	50									48356	5534		23	307	829		70			138454	896	257735	5240	616	467494	55544			1142	2453	240796	823	134	4049						6505	3533	290			1347	1065	3572	12699	427	20076			502		38			158854	29994	30	38
DZA	239473																																																																											530						743																		1382		7256				707			2161				1144				1171			2225						838																																														767										3757										11076					30319	1527					2941																	764		1046								158854	2263		
EGY	565931	235	134	987			32		19	279	179		524	674	37	17	448	283		311	626		42				70		146		77	77	74	42			141	707			65	371		31	856			65	1013	83			256	115			96	225	115	146	337	414			14		237		2368	30	1457				278	3184				33		8609	262	11	1423					11	160	103					149		1387	3211	168	11877	107		790	4661		1286	5846	237	154		3334	70			3542		53	5591				46	32	3144	32	241				174			74		91	17			1183	19	14	298			1105		103		130	904			135	605	689						1222	423	51		446	333	70		270	8348	50									9125	473		23	70	160		70			22709	249		463	249	150486	39589			394	1521	206837	145	134	1199						872	998	53			97	191	797	3504	163	6730			126		38				6351	30	38
LBY	771146	320	301	3589							255		748	752			968	1250		761	675						329		255									2850				860			3074				4295	402			596							434	770	1425				21004	708		1983		1831				830	5027						7029	614		2617							310					338		4842	13064	411	68477				6690		1005	20408	802	335		10800				11067									7921		338				357					276				4899						1770				357	2850			335	1693	2459						4410	678			1414	715			596	7246										35474	1120			237	669					104539	647	1776	726	367	286136	14428			748	932	27762	678		2850						3084	2535	237				874	2775	7232	264	9885			376						21380		
MAR	92424			13281																	1386																													1859																1837										34844						1424									973											1694				1874											1334			1162												1574																																																			1785												4051								2024									2549								1199		1806											
SDN	623878																																								13489	74514			1111															800						13423			159748		60734																												1277												2575									1557								678																								14828																																								130		255959																							1250																
TUN	56701			10443																																	718																648													1140										8638						1453																				638				2209														9147								999				530									5803											544																															411														553						1232																			609											
ESH	5179			78																																																																								268															954	1007																																				373				542																																																			1745																																																		
Southern Africa	4112793	187	254	1155			100872		442	3748	58		12259	8993		46	301	3984	45	374	12586		449	92		254	316	66162	5085	34	34	6168	67	10819			3967	9502			185			1071	43864	2520		926	303	31854			1832	1561	3037		7673	3183	310	54161	4448					7377			893	225	5076			70	1084	12331			487	80		98416	10637	83	14100					140	170	45	87					49	48116	1986	1126	256	19672		7078	37819	302	2838	87		27428		140	56	49	655	1488	299101	1218	287		626	80	1309	101731	1419	87	165	531				15259		445		40				1694	382076	336	166407	34	198	32623		4956	169	30	27509	30	40	2235	49	16701		91	91	185	316	2572	15547	43416			2632		522	2553	5732	7854	351	40							966	4337	6053	1357	926	1419		657			29342	60409		2600	3464	151	4923		83517	970	3472	182		187	1435					40	178	1796				9864	6188	280	126908	19051	18417		178			469	251			127	102819	649612
BWA	160644						3550						448																									417							4230															3391	395																					1286																	9519				716			624					715							3258						640	4596								1881									1185		1845			728					744			448		700								531																				266								37265			1925				696	500																1645			8264	2967	1277										12833	31625
LSO	6572																											108																	121																																						89																228																										36																	23		4													228																																				2610							36																	137				85	89										69	69
NAM	96888	40		457			35065		442	46	58		506	575		46	45	29			173		147					622	504			27	67	367			111	177						29	2937					1056			27		642			71	94	3011	106					164					199				74	506				80		8574	135								49								636	84	27		56		102	779		106			1049						43	118		33			40		348								100									128					488		46			928			49		156						232	158	408			33			27	429	338										27		52	153						87	8023		325			187		184	94	404				69							33				454	242		1625	1038	992										2860	13670
ZAF	3816696	147	254	698			62135			3702			11250	8418			256	3955	45	374	12413		302	92		254	316	65391	4581	34	34	6141		10233			3856	8889			185			1042	36576	2520		926	303	30726			1805	1561	2395		7673	3112	216	47597	3947					7213			893	225	4847			70	1010	11825			487			88556	10413	83	14100					140	121	45	87					49	37733	1902	1099	256	18900		6976	36416	302	2732	87		25664		140	56	49	655	1445	295504	1172	254		626	40	669	96751	1419	87	165	531				13278		445		40				1694	370347	336	164558	34	198	31407		4885	169	30	25837	30	40	1738	49	15617		91	91	185	316	2340	15389	42477			2599		522	2526	5303	7377	351	40							966	4310	6053	1039	773	1419		657			29166			2275	1539	151	4736		82601	376	3068	182		187	1366					40	178	1763				7573	5946	280	117019	14961	15803		178			469	251			127	87057	604248
SWZ	31993						122						55															41						219				19												72										162											30																																															221	46																							10393							25																								139																			89	12511																								55					256											
Western Africa	6610620	3	11	17506		6	1002		4452	182	9		42	1	5	13	3	1	11		175	2	524876		3	5	2	50	1098			3	1419721	39	919	9	34092	563			2497	31798		11	1932			2623	761	32261		118	661448	19	1871				1234	848	66	18	13	2	2	290	4	10802	23		42			3	6	35060			34317	17978		1472	386464								315769	52586		25		298			2076			112			56	828		167	2		2014	3	31			23	5324	32	146359	4004	4		4	10	17	1		872165		6		82134	15		3	3					4656	45	2	3	18	25	323		2	5	328604	282780			2		84	9		16		3	30	47	1996			505	3		5	1642	1073					30	28		1786	1713	182613	2	3	57052				28	12	6	1576	3	1479	22	161	561		5	261	207	239	1		51	8	368130		972		781	35			1	1	31	68	2620	10	5337	71	1	1			5		28007			4
BEN	245399																																9948									699								1910			13742																							1797							10211																																													1290																							75775	44603																																																								48118																									
BFA	704676																						4178																														540779																														32217																																													43815																							12757	5170																															4033																									15393																									
CPV	14924						370			4											10								286																23								7		85																					201			8	5		67	42								413	5015														407		1															4					7							3							26					37					670										3			1159							698									1712		1478			15									143							13					8											22		52		351	71										
CIV	2175399																						54068										1294323		292																																													44			42749								94980	329																											82428	3665								356019				7997																			49783	38917																															18994			659																						50328																									
GMB	192540																																																																																										40369	12328																											968									9251				3257																																																			118452			2330																																															
GHA	399471			13									32										16551						13				57733				113	273				15			224								30359							30						38					30					216				36											135								839						45	228		55			15						970		27689									4949				13															180				5826	67629					65						27	46								65	369										72			2298										20		25				143	51					87494												1339	8	602											
GIN	126386	3	11	7044		6	115		4452	112	9		10	1	5	13	3	1	11		40	2	408		3	5	2	50	14			3	588	39	34	9	196	46			18	389		11	169			2623	761	122		118	7968	19	1786				1232	77	66	18	13	2	2	27	4	10695	23		12			3	6	248			74	281		27	588									4540		25		298			49						11	82		108	2		1999	3				23	156	32	2765	44	4			10	17	1		52433		6		1355	15			3					333	19	2	3	18	25	38		2	5	193	381			2		19	9		16			3	1	14			426	3		5	39	39					30	28		33	31	2139	2	3	8683				28	12	6	1251	3	1187	2		7		5	3	17	8	1		51		533		972		533	35			1	1	9		8	2	301		1	1			5					4
GNB	22333																																		552			57																																						110				1495											4938																												898													559																																	823																		11087			812																																				311											
LBR	113779																						28										253					56															38041																							67				816		213	8113								32482	521							817							57											999											1454																			68				259	5649																															392			14536									65						258	34						418												263		517											
MLI	365145			4305			517																4035										23922				4405				2104				584					29972			20144																							18238			33255	4426			18561								17762																												4366													17189																			3819	11840																				713											5501			9143																						6653														1728											
MRT	166552			1634						66											60		551						159								392	50				51			158								462							90						225													84				206								3105	1203										112				54							31				118			138								104491													342										150																	69				60										305	17630												84		161						180					144				248							68			108								28007			
NER	252998			460																			17908										19323				417					756											1419																														1680																																					157								94640																								73179																															1150															529										9702																									
NGA	1199115																						351985														26893					29175																																									222377																																				20541									160967																							112733																																			4073																						147698																									
SHN	604																																																																																																																																																																																																107																											397													
SEN	263242			4050																			3487						626								979																2715																							13391				4984		843	1724								49780	28501																									1066											32930				51490									3981										1633	819																														1377				14398																						1613														773											
SLE	91213																						239										30		1			33							257								66						2																					4828		122	1202								68467	19							371									3									2015		6536									1797				129																			147	1949																10				67											677										218															36												561		464											
TGO	276844																				65		71438										13601		40		697	48			375	713			517					257			5746							651								107								792			896	1063		200	46794								3338	130																											168									8122				145																			65529	31974																					665								41		1008			105																																				182											
ASIA	76558152	4400770	3752	47312			76			42660	190176	63	73512	21136	217149		44634	6558728		135826	16374		10		35619	47	2508	10	300809	75	31606	510727		5	131	716452	62	79205			16	7181		3573	4869076	355476	117903	3093		529		97	16	337	204		10811	1942	71542	864	7355	5		12	469	2580147	12		27757	2433	234096			177	3504	105457					131740	553523	2307	5	97729			46	1008	34				42		5	14415	130	11233840	3553932	108360	794717	3706		68674	20448	16	121282	541796	74023	2696		101465	32500	992391	6386	204817		1	44075		11468	56	10	10	1426119	1598		77			267	308		5083			25399			178070	12	2606312	5		1433646	44114		17236	12	36	31116			20081	10986	4511198	34	21	60	10	69999	2079910	97526	3554	56	14561	847839	30582		131372	3897492	4									53257	75	2809	35	5	134154		487	162		295854	20469	19850	7585	910350	3198673	629822	130	76	10506	19144	5659740	47113	144654	254387	22666	2			16	34448	157525	15326			733	656077	78580	271884	379	415325	23	6427	457641		511	411942			983725	851	333
Central Asia	5393504	7587		134							24603			66	81223					110186											24	4263						51							2482														63539		135									1686					116						7232	230775			7846														639		4442	65								45154				23295		2015						7035																									52		113		26					37	154							32474				32149	15522		482	3642327																														54		29517									48748	3276				495467		325		283	23		383654			107				24	
KAZ	3546778										9144				48377					69136												4263													2162														61600											1113											3275	218348			7846																													6734		1113						4386																																										29224				31916	12048			2352598																																15816									46894	1050				338022							281713								
KGZ	204382										2380				4678					9947																									271														1777											573					116						3270	1820																												12940						902						2649																																										3212				233	2660		482	111753																																2205									1051	1001				26771							9183			107					
TJK	275059	7587		134							200			66	175					703											24							51							49														162		135																				687	139																	639		1238	65								868				11667																																	52		113		26					37	154							38					814			237935																														54											803	462				1250		325		283	23		7798							24	
TKM	196386										7009				7636					3868																																																														1858																			3204									18152																																																														62351																																														4822							84960								
UZB	1170899										5870				20357					26532																																																														8610																												13194				4894																																																										877690																																11496										763				124602															
Eastern Asia	7600768									2924			29614	563				25073			685								276085			15				16880		50959							3949216	292527	95704											16	561		574					1687									682	14335						10015	2013														10		57654	237357	4359		1843			3865		44079		1610				1893	1											31726									2115			25181					4404			19981	2066		7872			4177			456		33984					67341	481245	1205	2142			769244				18576															12323		4				1924		2659	36546					1895	1805			4	113030							198							48276		163258		1	24013			232922					
CHN	978046												5227					4018											74289									8629								270252	24399																																																				8968	39736								6826																		6130																															4404					13483	73070					186786				2963																								5435										15192														9108		26777						28095					
HKG	2838665												9091					444																				14660							2307783		71305																													2194						1973																	18004	134593			695			642		14185																		15273																				9334	1020		2247								7554						117914		109			4832				88															9879								401	782						726				19192														17666		13250						10930					
MAC	342703																																												281611	22111																																																																																																																					11864		1566																																									961																											
PRK	48458												202					152											2780									331							28594	164																																																					363	1414								210																		196																															170					522	2925					5358				145																								153										563														304		1028						751					
JPN	2232189									2924			9896	548				9686			685								199016							3383		9907							712522																574					1687									678	9746						6089	2013																24727	29874	4359		1140			3204																				8750									2115												1046		3412			2693			456		12207					53336	229613	1193	467			570625				8244															2444								2258	10091					1895	1060				45238														16337		54872						79310					
MNG	17620												208	15																		15						133							9373													16	561																4	73						162															10		98				8			19		369		187					1																																										19						152	12				1643				2670																	4													19			4								198							87		709		1				246					
KOR	1143087												4990					10773																		13497		17299							609333																															2322						1791																	5494	31740								22489		1423				1893												1377												25181					4404			10647			2213			1484					9630						45707									4466																					1924			20085										31884														4774		66622			24013			113590					
Southern Asia	14173830	3975273									2479		1240	23	12007		30560	3209010							35619				14919		25388					19642		2024							193890												251				38					167								172	61	1586						2981			90									37					2550656	154412	4111	86312			55	5307		15558	275	2204	2380		7822		88155		746			40						217022	1598						296										290450			583065	20		152			646			14428	330	1485399						929		189		274	640				1497										5882			25		14515						261		35	162624					188	431	73	15031		11183							2597	4901			712		13662	39659		49519			751			28087				680	
AFG	489749																																																																																																																																																												348369																																															15031																					751								
BGD	1422805																30160												14919							19642									162772																																																						34431	152862								13763							88155											203561																	237369			39059									14311																																9583																			10548														33470		46008						27521					
BTN	51106												27					52																				37							906																38															30						27																	44732							13		127																																			34			717	20		24								22						19					33																			18									33					23	24				61														36		136											
IND	5240960	8086											663					3171022							6647						25388							1642							7107																													172		1142						2147																		820	1706	498						716		2204	2380		6080													12442	199						296										50587			542947						646					1106212								156							1348										4476					4229									155195																	105				712		11986	4866		2722						566				680	
IRN	2726420	2348369									2479				12007																																																																																							85523																																																							28402																																																								2447	4901																			
MDV	64273												78	23				37034																				94																												37										115						250																	13364							164		109									10									101																							17								303						910																								77									6772					36	118				299														103		44											
NPL	509855																	233							28740																				20308																																																						446491																																																										1268																																							46																																					
PAK	3628956	1618687																																											334																																																						2000908	408	2301	251																																									2460																																																					578																																					
