Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
Sub-Saharan Africa	15324570	97	63	7007			474927		662	844	89		4190	3408		70	168	1798	18	93	5523		257280	38		98	91	20038	2823	14	14	2436	1203820	537593	12966		71266	4363			39449	250435		450	21997	1120		159	28986	47645			389285	391	1755		1312	886	344	447641	1318	1901				23775		32981	272859	56	564209			29	480	124184			7186	19768		41764	252465	21	3074					56	344396	42151	34					13	38516	983	467	170	5014		2062	11880	119	1248	34		78965		86		20	163	9822	137289	514141	9429		157	80	20925	126455	587	35	734012	133			134834	6941	3893	91		9				4810	727884	131	25820	14	110	12934		1253	66	161521	283110	13	17	621	20	5071		36	36	72	128	1519	2769	33413			1433		1509	674	4302	2055885	137	16						9755	2684	210907	1550	605	422743	352		164	42		655984	93030	427923	1937	1505	204	377500		29199	1470	3326	285		48	566	14	280712			16	388	608				389915	1984	175	137055	165056	18233	30	69			184	97			376	108195	190873
AFRICA	16352814	737	425	31802			474948		675	1087	578		5624	5253	23	81	1387	2554	18	934	8121		257315	38		98	277	20038	3221	14	69	2494	1203875	537629	12966		71375	6254			39494	251443		470	24298	1120		211	31691	49047			390523	487	1755		1389	1077	437	448034	2233	3011			9	37365	636	32981	274448	72	566182			29	1227	152012			7186	19796		70891	253177	28	6955					63	345702	43011	34				403	13	42241	10794	925	36805	5101		2790	29365	119	4781	18019	635	79384		10377	45	20	163	21614	137289	514177	16711		157	80	20963	126476	10370	47	735081	133			136993	6941	3893	148		255	6			15191	727897	140	26097	14	110	15955		1341	66	161876	285666	13	17	986	1657	6919		36	36	72	128	4796	3922	33451		1199	2334	45	1509	1405	30787	2055929	137	16						9755	30625	214654	1550	619	422929	778		220	42		708529	93705	430928	5770	2190	267526	419086		29199	2546	7514	28032	381	161	3820	14	280712			16	4345	3307	142			389990	2489	2319	148777	165499	40815	30	69	337		209	97		166903	19942	108217	190903
Eastern Africa	5022742						142392						140					213			726							3260						407190	4567		13	548							4985	45			28866	24023					26				51	270770	172	1901				139			35015		59360					61611						1336	283		40														20057	114			14			938		220			67057							5288						20501	107673	33	1	206					2715	3893								391716		1079		33	211					180					1879						229		7215			59		948		372	914202										138		325							652945	57945	290617	76	410		313793		69		30				237											308223			23834	160956	2011									325	87614	79710
BDI	254853																				621																																							41447																310																																			216																																																														160197																																												1546				9780												
COM	13939																																																																											538																																			86													10701																																														948																																																			162												
DJI	99774																																																																						10943																																																																																																																									82625																																							236		
ERI	12400						433																											1141											53				60											816											687					159																							54												202														228																	2218																															703																			1607	143	1109				155																			682			38	296											121	125
ETH	806904																																	25																										63		1901							34949																																																																																																								93																			459615		235512				33008																			135														89		
KEN	618745																																	147																										391									66		29521																																																																							980		112																													3970																			103743	185	53996				7568																			237964				73119												
MDG	21177																																												1312				7242																											5908																							1037																																																																																																																																						
