Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
WORLD	190531600	3826255	965066	1588723	2678	5762	680405	3058	37506	813610	899820	13036	428411	493066	1447059	34753	52484	5765158	93641	1584067	438642	51850	490875	14932	117860	544436	1490861	30883	1218233	5869	44811	909442	1312349	616738	142011	672542	217615	1187046	6367	1268	131192	210019	14847	539059	7242306	804649	115397	1880422	96141	165547	19573	118544	695065	834830	1160652	67407	153938	608499	86234	1079545	225878	12207	64097	1023893	988017	1900048	1118900	67673	289183	150507	521088	12530	1098	156682	302910	1694057	3871	2751	41038	57473	885995	3585342	616174	9666	874489	14765	64758	9108	2508	736531	370909	82908	393675	971633	113	449102	466444	28803	9649626	2714351	889308	1445446	771110	8511	317081	2739747	906599	720120	433828	3718926	344121	4043	126263	653216	894783	271278	612261	144122	368417	98964	2905	412811	45397	147749	224606	1380159	1757	792284	100308	6631	14610	99141	127711	6471	10816544	18340	18977	42328	148193	15825	2376184	559674	1788146	59385	1898	1125756	801661	5323	555519	436584	285366	782992	5304	2730	174988	18058	3896494	3785	131870	4400	544868	986198	3700591	2907295	1750702	1641930	17760	2038346	715928	2529	2106961	10385025	287089	3517	33925	46981	428	55808	99245	2907	29430	177109	462698	927661	9776	147341	226922	23107	273559	119913	3046	1150483	618026	243075	1121066	1136550	3047671	1175018	252127	40531	270492	501091	861759	544945	459339	631993	94995	365019	2070	48558	323024	572919	2693172	229241	1236	2927	557486	5567494	105041	4140641	238881	2285444	3771	297320	1752804	7444	437280	2084889	7437	131088	630975	178057	478835
AFRICA	15462306	534	430	31056			443282		502	1518	413		5634	4464	29	65	1267	6452	15	979	7202		466387	30		81	423	26188	3385	11	71	2041	1292037	600075	14971		83163	8084			114977	195487		389	32140	821		345	65396	82868			566860	586	2145		2518	1243	507	943240	2643	4217			11	45461	758	49061	200965	95	143951			23	1293	180543			21120	15207		56657	328476	35	7942					53	313090	47508	28				391	16	65478	15114	846	72114	6543		2990	27648	96	3250	22922	836	91864		12381	73	16	208	21543	143093	297053	16659		199	65	31579	208653	10070	70	717935	169			75533	10357	6410	204		307	13			15920	472176	118	54956	11	161	13986		1696	54	277267	308128	10	13	1212	1862	10961		29	29	59	105	6074	5992	40637		1494	2380	55	1064	1528	17818	266625	112	13						12408	41078	233927	1921	979	81963	1118		264	50		792032	97410	233443	6489	3030	375401	711602		38153	1896	3829	33635	663	165	4100	13	322718			13	5348	3439	234			457637	3096	3031	192167	154746	35986	54	57	403		179	80		130960	24529	128376	326180
Eastern Africa	4745792						100154						196					3929			596							4585						560193	5996		66	762							7991	21			61025	30847					36				156	624260	183	2740				116			6473		32364					93672						1538	170		42														30476	176			24			1146		337			75910							7029						30971	174933	49	17	205					4977	6410								239934		882		98	224					344					2635						514		5688			183		898		407	171372										153		425							670954	48951	174448	92	996		384926		83		51				341											397371			25003	146759	2912									325	90118	72469
BDI	172874																				466																																							84099																232																																			502																																																														57104																																												805				13732												
COM	13209																																																																											509																																			81													10142																																														898																																																			153												
DJI	92091																																																																						10100																																																																																																																									76262																																							218		
ERI	14314						480																											1347											115				141											1442											99					320																							93												281														551																	992																															436																			2096	154	1375				192																			1345			49	446											194	243
ETH	514242																																	29																										75		2740							5756																																																																																																								111																			327545		110527				15491																			161														107		
KEN	756894																																	2045																										2684									696		20917																																																																							523		60																													4059																			259706	98	62546				8766																			291776				42082												
MDG	26058																																												1609				8910																											7269																							1282																																																																																																																																						
