Country or area of destination	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
Southern Africa	2357093	124	140	868			73978		469	2084	63		7098	5234		50	190	2205	25	206	7004		322	51		140	174	36744	3051	19	19	3404	71	6201			2237	5405			102			605	26503	1385		509	167	18060			1022	858	1996		4216	1786	220	32026	2579					4137			491	124	2900			39	634	7033			268	86		58684	5951	46	7747					77	120	25	48					27	42613	1135	634	141	10983		3941	21301	166	1614	48		15748		77	31	27	360	840	234704	684	175		344	65	850	57019	780	48	91	292				8817		245		22				931	306386	185	91801	19	109	18319		2755	93	17	15737	17	22	1345	27	9496		50	50	102	174	1532	8623	39728			1463		287	1418	3368	4532	193	22							531	2398	3326	827	588	780		361			16194	51140		1594	2295	83	2801		65586	684	2114	100		103	825					22	98	1004				6062	3524	154	136519	11634	16797		98			258	138			70	60580	508743
BWA	120912						2672						337																									314							3184															2552	297																					968																	7165				539			470					538							2452						482	3459								1416									892		1389			548					560			337		527								400																				200								28048			1449				524	376																1238			6220	2233	961										9659	23803
LSO	6414																											106																	118																																						87																223																										36																	23		4													223																																				2544							36																	134				83	87										68	68
NAM	102405	43		484			37063		469	50	63		536	609		50	49	32			184		156					658	534			30	71	389			118	188						32	3106					1117			30		680			76	101	3183	113					174					211				79	536				86		9063	143								53								674	90	30		60		108	824		113			1110						46	126		35			43		369								106									137					516		50			982			53		166						246	168	433			35			30	454	358										30		56	163						93	8481		344			199		196	101	428				74							35				481	257		1718	1098	1050										3024	14449
ZAF	2096886	81	140	384			34137			2034			6181	4625			141	2173	25	206	6820		166	51		140	174	35926	2517	19	19	3374		5622			2119	4884			102			573	20095	1385		509	167	16881			992	858	1316		4216	1710	119	26150	2169					3963			491	124	2663			39	555	6497			268			48653	5721	46	7747					77	67	25	48					27	34551	1045	604	141	10384		3833	20007	166	1501	48		14100		77	31	27	360	794	231928	644	140		344	22	368	53155	780	48	91	292				7295		245		22				931	294493	185	90408	19	109	17255		2684	93	17	14195	17	22	955	27	8580		50	50	102	174	1286	8455	38895			1428		287	1388	2914	4053	193	22							531	2368	3326	571	425	780		361			16024			1250	846	83	2602		64830	207	1686	100		103	751					22	98	969				4161	3267	154	128581	8220	14471		98			258	138			70	47829	470423
SWZ	30476						106						44															54						190				19												62										141											26																																															198	40																							10841							21																								121																			77	12067																								48					228											
Western Africa	5959501			10023			836			70			27								207		454457						1151				1358051		876		28726	575			2284	26092			1709					29640			619165		1957				3	751						256		95			25					33597			31713	17256		1367	336095								310610	51591							1793			135			38	688		96			13		31				4867		167458	3823			4					681567				77530			3						4214	25					248				289958	205695					55					3	23	39	2036			566				1665	1057								1686	1764	198524			57671							320		1301	17	160	543			225	164	197				8	318627				247						46	68	2347	7	5172	68										
BEN	209267																																8483									596								1629			11719																							1532							8708																																													1100																							64618	38036																																																								41033																									
BFA	673904																						3996																														517165																														30810																																													41902																							12200	4944																															3857																									14721																									
CPV	14373						356			4											10								275																22								7		82																					194			8	5		65	40								398	4829														392		1															4					7							3							25					36					645										3			1116							672									1649		1423			14									138							13					8											21		50		338	68										
CIV	2095185																						52074										1246597		281																																													42			41173								91478	317																											79389	3530								342891				7702																			47947	37482																															18294			635																						48472																									
GMB	185763																																																																																										38965	11899																											853									8929				3144																																																			114333			2249																																															
GHA	337017			11									27										13963						11				48707				95	230				13			189								25613							25						32					25					182				30											114								708						38	192		46			13						818		23360									4175				11															152				4915	57056					55						23	39								55	311										61			1939										17		21				121	43					73815												1130	7	508											
GIN	177998																				81		928						97				698		37			116							81								12219		1875																					648				319												5032																46											29367									54950				1351																			550	359													144			486				149										120	3571			13557									1022								15					935										25				472											
GNB	21061																																		521			54																																						104				1410											4657																												847													527																																	776																		10455			766																																				293											
LBR	99129																						25										221					49															26335																							59				711		186	7069								35375	454							712							50											871											1267																			60				226	4922																															342			12578									57						225	30						365												230		451											
MLI	336607			3991			480																3741										22174				4084				1951				542					27782			18672																							16906			30825	4103			17205								16464																												4047													14446																			3540	10975																				661											5099			8475																						6167														1602											
MRT	84679			1627						66											60		549						159								391	50				51			158								533							137						224													84				206								3100	1198										135				54							31				118			138								7612													341										150																	69				60										304	38381												84		160						139					162				247							68			108											
NER	126464			454																			17669										19065				411					745											1186																														1658																																					155								44537																								19177																															1134															522										9572																									
NGA	988679																						290214														22173					24054																																									183351																																				16936									132718																							92949																																			3358																						121778																									
SHN	569																																																																																																																																																																																																101																											374													
SEN	256092			3940																			3393						609								953																2642																							13027				4849		821	1678								48426	27726																									1037											32035				50090									3873										1589	797																														1340				14007																						1570														752											
SLE	97452																						240										31		1			34							258								67						3																					4843		123	1206								68669	20							373									3									2023		12509									1803				130																			148	1955																11				68											679										219															37												563		466											
TGO	255262																				56		67665										12075		36		619	42			333	633			459					229			3007							589								95								945			796	944		172	42991								2964	116																											150									7641				129																			61126	29347																					746								37		895			93																																				182											
ASIA	65921788	4606872	3696	46351			74			41717	197044	62	68711	20919	269606		42397	6139849		133534	16152		10		80721	46	2551	10	321370	74	32323	502698		5	128	661381	61	73121			16	6752		3469	4551662	313058	109740	3038		521		96	15	367	203		10822	1943	67814	817	7180	5		12	462	2067469	12		26089	2460	200303			183	3395	97516					118640	536205	2209	5	95921			46	992	34				43		5	14797	130	9426632	3085986	106553	1919314	3651		71330	20247	16	111359	454396	76475	2782		98751	31809	919104	6308	167267		1	24659		11427	56	10	10	1273261	1680		77			354	319		4840			20466			172504	12	2361564	5		1222500	42124		15880	12	35	23678			19172	11916	3722418	34	21	59	10	69409	1668260	94219	3375	56	13984	812489	29878		128206	3794789	4									58384	75	2834	36	5	127884		510	160		213020	19692	18194	7520	783635	2878834	527906	128	75	10093	19026	793572	55804	142612	232448	20485	2			16	32971	153190	15105			760	639345	72658	255616	374	385067	25	6233	438162		539	341875			791184	876	327
Central Asia	5262414	8900		136							24854			68	80017					108552											26	4008						53							2392														60091		137									1696					132						7476	218362			7377														644		4479	67								48533				23175		2068						7125																									54		115		25					39	99							31155				30272	15161		546	3554448																														56		29313									46090	3379				483853		328		286	25		368774			122				26	
KAZ	3334623										8597				45483					65001												4008													2033														57915											1046											3079	205287			7377																													6331		1046						4124																																										27476				30007	11327			2211875																																14870									44089	987				317803							264862								
KGZ	231511										2696				5299					11267																									308														2013											650					132						3704	2062																												14657						1022						3001																																										3639				265	3013		546	126580																																2498									1191	1134				30323							10402			122					
TJK	278152	8900		136							204			68	177					710											26							53							51														163		137																				693	141																	644		1249	67								876				11759																																	54		115		25					39	99							40					821			239484																														56											810	466				1261		328		286	25		7860							26	
TKM	197979										7066				7698					3900																																																														1874																			3230									18300																																																														62857																																														4862							85650								
UZB	1220149										6291				21360					27674																																																														8998																												14700				5085																																																										913652																																11945										792				129604															
Eastern Asia	7061814									3181			27586	582				22904			697								297629			13				13538		46188							3733471	255528	91031											15	512		499					1593									602	13143						9492	1883														9		52761	218042	4841		1749			3377		38437		1315				1523	1											29934									1956			20251					3542			17704	2098		7231			3923			416		29440					66826	439728	989	2028			739387				16632															12187		3				1548		2300	30878					1553	1817			3	100322							180							45456		142069		1	19312			169155					
CHN	849861												4542					3492											64552									7498								234829	21201																																																				7793	34528								5932																		5327																															3827					11716	63493					162303				2575																								4723										13201														7915		23268						24413					
HKG	2779950												8903					435																				14357							2260045		69830																													2149						1932																	17632	131809			681			629		13892																		14957																				9141	999		2201								7398						115475		107			4732				86															9675								393	766						711				18795														17301		12976						10704					
MAC	318506																																												261728	20550																																																																																																																					11027		1456																																									894																											
PRK	44010												183					138											2525									301							25969	149																																																					330	1284								191																		178																															154					474	2656					4866				132																								139										511														276		934						682					
JPN	2134151									3181			9756	569				10175			697								230552							2683		9995							687156																499					1593									599	9060						5971	1883																22497	24895	4841		1061			2731																				8364									1956												1099		3250			2729			416		10299					54636	210181	978	465			565989				7814															2512								1907	9097					1553	1089				41279														16044		50667						41781					
MNG	16061												189	13																		13						125							8545													15	512																3	66						148															9		90				7			17		336		170					1																																										17						138	11				1497				2433																	3													17			3								180							80		646		1				225					
KOR	919275												4013					8664																		10855		13912							490028																															1868						1441																	4419	25526								18086		1145				1523												1108												20251					3542			8563			1780			1194					7745						36758									3592																					1548			16153										25642														3840		53578			19312			91350					
Southern Asia	14307646	4289515									2504		1245	20	12128		28864	3318585							80721				14083		26333					18541		2065							192052												247				36					160								178	61	1605						3012			89									38					2581793	145227	4217	87231			55	5477		14829	271	2286	2469		8017		83217		732			40						218764	1680						307										290000			597478	19		148			670			13625	325	1226379						735		175		270	627				1545										5923			26		14373						257		36	168556					180	408	73	23991		10781							2626	4950			739		14077	37965		47043			1199			26417				705	
AFG	102246																																																																																																																																																												47984																																															23991																					1199								
BGD	1345546																28471												14083							18541									160252																																																						32301	143647								13041							83217											204878																	235019			33308									13509																																9307																			10259														31619		43455						25830					
BTN	48420												25					49																				35							858																36															29						25																	42383							12		120																																			32			679	19		23								20						18					31																			17									31					22	23				58														34		129											
IND	5436012	8387											688					3289037							6894						26333							1703							7372																													178		1184						2227																		850	1769	517						743		2286	2469		6306													12905	206						307										52470			563154						670					1147382								162							1398										4643					4386									160971																	109				739		12432	5047		2823						587				705	
IRN	2761561	2372090									2504				12128																																																																																							86387																																																							28689																																																								2472	4950																			
MDV	54659												67	20				28598																				80																												32										98						213																	13568							229		97									9									80																							15								203						717																								66									6850					31	101				193														102		38											
NPL	578657																	243							73598																				20920																																																						459935																																																										1292																																							41																																					
PAK	3941586	1908909																																											338																																																						2023077	413	2345	287																																									2479																																																					663																																					
LKA	38959	129											465				393	658							229													247							2312												247									128									61	294						547			89									38					10529	317	103	40			55	5236		828	271				1711				723			40						901	1474																			337			110						116	325	809								13		270	596				147										1280			26		597						257		36						127	284	73			271							45						1645	1163		598											
South-Eastern Asia	8673693	1680	114	454			74			146	133	62	30066	495			110	421903			524					34			357		5902				128	629302		13179						92	595897	57387	18709	123		521		38	15		110				6958	47	1029				452	158					2				110	2881						5895	34		150				992	34							240	53	312921	1183637	590	701	425		605	2289		55792	10993		53		168		835881		131		1	2092						1023615									143								1900110			213832	7719		7857			189			1306	401	149290	34		59		110	52668	108	883	51	119	41474			34	98	4									2768					101094					1048	800		1284	24234	14	62	123		1241	1887	2106			104667	20485	2				560	867						425	46875		67081						146056					1
BRN	100587												504					1208																											2012	504																																																					3017	6036								200																		47276																				5232	301		200								804						13176					150																			1509									1208										14083														2012		150											
KHM	81977												129																									47							1682	129													47																	305						42																	105	116						17		138							288											191																	58			50	33										45						169					62				33															136									52										34143														102		216						40384					
IDN	305416												9796																									1938							65307																																																						10818									17080	10818											2045						2045																					6279										7428						3636					28850														2045					20346																2045			20346	20346													28276		10909											
LAO	32473												33																							2309									8249																																																																																																		249																																																															2449																						15023					
MYS	2406011	478											5082					343000													5822					13519									9923																																																						126986	1024344		555						15742																																			241430			196194			2049								25702						20798					3277																			76095					926				6355										7928														9428								83515					
MMR	76414																	1065																											35082																																																						27316																																																										3102																																																																												
PHL	208599	1201	114	454			74			146	133	62	3932	495			110	156			524					34			160		80				128	38		5480						92	35398	252		123		521		38							5665	32	436				452	158									110	1186						3727	34		150				992	34							240	53	10476	3253	577	70	425		605	1705		13537	175		53		168		372		131			47						781									143								415			67	476		378			189			642	401	491	34		59		110		108	59	51	119	6799			34	65										722					807						800		1284	170		61	123		596	1017	61			335	139					560	866						425	4217		35015						406					
SGP	2164794												8706					68502																				3814							365797	56502	18709																																																				124357	136979																										971827																							3386								108812						12820																																	9222										15658																14344											
THA	3224131	1											1310					1299																		611508		695							68811								15							15	593										2					1220						2126																	8232	621	13	76				567		7553							829240				1							1216																	1648602			10345	630		1665						664		2171						1213		491			841					4									1					675					122				7126	14	1			645	870						2					1							1913		3750						6519					1
TLS	11535												542					133											197																1196										110																																													5777																										173																							179								245						762		333																						75																			155																72						209					
VNM	61756												32					6540																		1928		1205							2440														1246																	170																							1614	6511								1542							5981											106																	9356			1944											490						94					1495																			1451									101										9570														927		2625											
Western Asia	30616221	306777	3582	45761						38390	169553		9814	19754	177461		13423	2376457		24982	14931		10			12	2551	10	9301	74	62	498677		5			61	11636			16	6752		3377	27850	143		2915				58		367	93		10575	1928	253	770	5479	5		12	10	2065558	12		26089	764	200301			5	2490	79887					111164	299444	292	5	88305			46						5		5	14548	77	6478513	1539080	92426	1831315	1477		70670	9104	16	2301	443132	24341	260		90566	7111	5	4240	166404			22527		4302	56	10	10	948			77			354	12		2741			215			172504	12	167912	5		393486	32234		529	12	10	18896			3825	11151	2317210		21		10	2473	1175129	61967	289	5	13595	729	14717		127626	222066										49693	75	2834	10	5	230		507	160		211972	17087	18194	3900	559967	2878820	527844	5	75	7119	14858	791393	2500	142609	16678					16	32411	103427	6776			21	155492	58156	124992	374	128588		6232	48877		539	125			791184	145	326
ARM	221560														142156					410																																																													25767	422			1143																6172									503							722																																																							11216																															2062										1250	525				1657							736								
AZE	276901	195									155685									481																																																		509											53614	299																			1604									3797				2680																																																							297			30151																																261									2224	1808				2953							17853								
BHR	657856	613																81920																								401																								67374			1448		826					1361																							259915	23845									12651				5054				3142																								669					2095	236					1179					74535						42281				201															492										727		1190		9019	4364	9955					3954			960						440	2853						5663	2181		1169									15381		
CYP	188472	10	296	38						89	1254		3180	378	38		115	694		362	279		10			12	73	10	63		5	6569		5			61	1606			16			51	1708			134				5		89	38			720	35	730	180	5		12	10	5533	12		5	30	86			5	528	978					16310	2772	89	5	25300									5		5	368	35	2934	185	1284	335	828		408	514	16	89	471	253	89		249	26	5	175	2938			244		99	12	10	10	48			35				12		68						68	12	48	5		61	514		99	12	10	326			213	68	554		21		10	35	7690	755	68	5	12	10	1004		5771	13876										249	10	2703	10	5	35		145	16		12	5300		167	10539	387	554	5		973	403	3476	10	21	279					16	38	653	12			21	3496	162	39393	155	3393		5	78		68	68			16	145	326
GEO	73034	39	10	17						15	11770			24	5544					1016	21											215													70										12			32												114					11	38						581			152												46		30		114				30	17				1583				231		190	9					195																27								17	11										81					20		167					446		204	34226																							18							14		138									436	188				11231		32		102			705								
IRQ	117389	311																																																																14326			804																														231		17568								10309				399				1518															199									584																680															272										672										413		294			12956	3782					6180									311	17502						287												1996		
ISR	1950615	2462		44292						38148			3167	4910	13118					22417	5811								8661			16128						7885						3283	582			2678													1858					20459					78029				299	40576					9034	22937			2991												12115		18389		50732	65732				5066				13218				2442		3812	6043			16748		3751													2522						158158						4955															2366		57485					10580		100528	111148																					11365		1833						667	3736	9195	1828								22828	27111	2231				131007		21205		76680		6184	21638		362				29931		
JOR	2722983	142		774							59		563	262			958	26192			164						137		238		57	113						735				59			20878	87		57						59			297	55	190		113					135994			168		172					890						1614	61		140												1322		13319	23478	214	475782	118		3539	696		233		46			1695				4143			2195						639						155									1348		55			410	449		144			59			98	1435	7335						8661	183			504	214	83		611	1344										11346		131					52			170	131	624	687	28134	1760396	5066			203	449	149685		199	233						585	2312					892	471	1822		5899					70				5367		
KWT	1871537	1743															847	257626																								1136																								168272			4114		2897					2353																							674184	75801									33444								5897																								2083					1850	778					1515					225431						112782				223															1713										2758				25148	12410	41140					14401			2383						1256	10463						21472	8002		3669									47616		
LBN	820655																132	3619																											2885																					99001										123						223															183		1840	3243		143391			489				573				234							303																					186															198	1013						1197									186										1567												86		3887	530550	700					20679										319					123		252		815									741		
OMN	816221																393	108861																																																30361										1162																							473206	25710		4226							7523				294																																		556										86029						15904				170															736														10342		6978																					6529	4120													
QAT	1456413	1356															659	169370																								663																								136060			2401		1846					1374																							540914	48072									26916				8395				5865																								1431					66011	497					2347					145204						107963																			1054										1609		2632		33403	7243	22272					8688			1916						910	6249						12533	4771		2412									33584		
SAU	8429956	280395																808485																																																603000					102910																												1579235	1070951		5039							152257								96479																										167772			299632											938913						404010																																	338283		301500					515803																												482400		
PSE	258032																8640																																																	18633																																							63515				56259				17280				3344																																							9426											10211															21993																					4719									606							10996			7904									1482		
SYR	1785115	1611																																																																																																				1112300																																																																																										2762					496983	539																																			
TUR	1367034	11022	3276	640						138	785		2904	14180	16605			325		296	8656						2341		339	74		475652						1410						43	1727	56		46				53		219	43		10278	1121	28	40	3328					766				111	78				1652	15802					6439	270596	142		58579			46									514	42	514	177	14728	14069	531		2689	2811		1979	891	4941	171		282	1732		63	1120			3037		257	44			261			42						151			188			469		37				21587		286			292			3514	24	1125					52	578	3377	221		30	505	2307		20512	19647										4347	65				195		310	144		955	291		1195	67	793	353		75	5276	10256	5311	263	142389	144						505		2012				4133	43	18709	219	13431		43	7867		39	29			68		
ARE	7316611	6878															1679	919365																								4493																								755158			16231		9276					15230																							2913802	267618									141838				56684				35184																								7508					23410	2651					13178					836310						474063				2244															5524										8173		13368		101145	48946	111835					44418			10763						4932	32055							24505		13114									172602		
YEM	285837																																																																	10621			918		4181																														10	10441																																																																																										194393					3792	23170					2822																									28					
EUROPE	70747947	247979	1035917	1480882	44	7060	196234	649	3810	415190	646402	3141	233225	386310	887251	2345	6536	354053	18589	1265771	396604	1465	25922	4318	1497	252027	1376154	4017	602233	346	5866	535970	24528	17111	101168	68756	138889	221092	4402	840	16971	9046	18008	159761	957429	111641	1877	530387	34256	93259	4	10235	130646	661448	170181	60419	106444	677597	33527	139807	160821	7458	13982	215455	617663	264564	27623	22852	66944	142101	112989	12689	867	6525	249629	1127484		88	22616	44238	668403	2218775	225253	10791	345519	15872	9615		1	17628	62751	38514	28352	75122	180	33247	362651	26696	1102958	187814	385453	409977	522650	9443	75625	1447795	163952	129003	36791	3709922	167864	184	27550	689759	45618	261265	192619	1163	13937	66231	3308	424629	50517	119496	17439	91036	549	100683	33825	6		30071	98396		106768	126	25794	36130	127666	7059	2457034	73740	22248	3942	33	66679	493488	116	77990	19169	9231	366003		49	124246	4008	793667	207	8632	1631	90538	371837	465419	3035510	1325573	76	4351	101076	757863	14	2866409	5879609	20310	2609	5494	13394	1	7269	859	2213	17415	45891	263761	735198	27369	36691	53655	21578	274169	99977	354	216022	279038	2	686977	365077	11633	36926	211013	2309	217964	511121	137142	520011	235687	233034	3833	46742	1	427	25882	539124	2368556	219305	110	664	70147	4399353	17320	1284856	44232	676416	121	105373	1426013	945	252413	400630	1	371	23550	33923	128787
Eastern Europe	19127781	9035	2717	3192	43	1	846	85	5	1240	576330	5	3206	20780	852904	11	38	1366	10	1081968	9987	3	191	5	31	281	7500	135	1775	83	1	38573	459	147	63	246	659	6985		2	97	278		453	82978	58		749	88	837		133	211	5614	3805		1667	92794	10541	95	2316	6	3	110	512	3079	31	102	42	71498	614			5	5544	40217			18	32	517473	271968	613	8	17495	3	6			54	384	161	43	9		23	40364	898	12650	658	8174	4548	10376		11657	34116	47	4466	6397	2821250	703	6	701	613282	192	119376	5689	8	47	1214	11	163843	477	143	28	2024	50	151	158	1		12	142		1191		82	27979	448		3706	187	680	150	2	396	9363		534	121	50	3009		49	4266	70	1711		114	7	89	839	977	62485	1770		98	6531	505605		239328	4120215	70		5	3		6	6	51	2	842	248	32448		42	170		96126	1427		495	1466		17158	823	2331	640	8	3	4514	5082	10775	493261	5542	1614		21	1	2	18	1700	23108	210689	3	585	205	3672353	826	55178	376	37642		344	1364042	2	487	88062		30	1310	587	282
BLR	1090378	270		50						99	5779		26	56	13611						35								89			58						148																	43			91	57		190									3099	23				2017						8583	62			104												327		46		47		21		370	21			28	70573				5279		10019	61					16612																161																	58		45							456				27	7676		20	688372												34					25						34						324	27	79	5729									23	5513				227722	20	441		82		26	14919			351			30		
BGR	76287	286	1086	369		1	6	37	5	113	1410	5	136	194	2064	4	8	603	4	603	393	2	31	1	28	21	103	27	87	83	1		11	15	7	13	8	232		2		5		20	824			22		9		5	5	80	247		234	885	34	14	60	3	1	20	12	126	7		3	57	51			2	53	538			11	10	279	1996	10	8	4724	3				6	10	5	4	5		2	323	148	145	23	252	638	10		323	1038	6	111	156	929	11	5	97	82	1	121	592		5	189	3	103	8	2		2	2	1	34	1		3	1		24		4	57	26		74	25		3	2	5	286		21	28	1	71			92	2	39		6	3	2	20	34	1146	95		8	53	1814		5792	17940	2						6	4		32	9	2209		1	7		278	34		3	127		1497	9		35	1	3	117	156	1198	115	2325	12			1	2		76	3791	252	3	14	5	5631	58	2914	13	1132		16	654	1	25	598			45	11	28
CZE	398493	320	264	622			180			103	2050		403	2213	687		16	118	1	3852	431		41	3	3	70	2574	75	304			6171	12	4	11	20	82	544				7		86	4801			153	1	50		28	74	1396	366		80		25	55	266	3	2	32	77	478	11		3	129	72			3	220	2012			2	11	988	11156	114		488		1			30	71	20	7	4		10	778	27	930	119	313	440	470		415	2305	11	1359	149	4671	78	1	87	721	27	228	322	2	9	147	1	466	17	27		336	3	28	17			4	27		242		3	5258	32		245	5	57	22		106	2279		114	11	6	495			113		380		24	3	31	168	323	18883	130		6	1023	9878		3909	28721	5			3		1		1	2	62	51	781		11	31		70494	222		35	282		503	97	106	61	7		348	448	545	294	1952	520		13			4	555	924	152			23	125343	33	3869	21	3351		19	2218	1	85	53245			179	51	37
HUN	436616	782	189	688			80			327	212		944	8121	151	7	14	68	5	233	1624	1	26	1		57	388	6	508			2102				74	201	2090			7	1		158	11091			199		81		32	24	2345	613		277	1600		26	364			36	112	777	13		11	126	132				701	3841			5	11	212	31303	124		1327		5			18	43	8	5			11		130	1111	217	2043	831	807		1688	3835	30	1351	396	532	88		175	132	45	142	345	6	33	320	7	145	138	32		117		20	37			5	51		425		5	1268	39		188	20	8	7		56	2709		176	23	14	1175			1164	17	232		26	1	20	219	250	4045	330		33	1220	220		214976	4513	18		5			5				325	24	24763		30	83		22187	414		400	338		1205	52	105	173			1534	2224	1244	18	144	717		8			14	189	2134				32	29212	181	5383	57	7317		68	117		193	3450			274	18	39
POL	642417	147	131	604			59			283	2183		942	3930	276			103		78747	5413					50	3606		270			1794				27	38	3061						61	1221			128		110		37		815	234		216	4680			926			21	47	469			25	206	45				260	27091					338	79149	37		3214						58		27				1393	511	889	117	239	441	7874		359	10304		529	142	4775	63		199	130		1608	397			249		52319	239			42		31							220		25	334	61		329	28				58	2686		110			395			1585		221		34			116	202		142		26	122	575		2573	39565										181	91	1073					1344	158			395		5000	89		117			1355	1053	610	60	275	102						425	906	56			65	214193	130	35829	72	14179		97	515		75	2896			118	44	107
MDA	157668														1086					3669												134																										150																							1028	991			88												201								89	270				5719																												101																										230	116						1490	65379																																									203					70622							1166								
ROU	166126		741	12							11			765				11			962								8			19048					2							2	2527										4		70	597			84			1		39										1763					2	3008	2		5304						2						6256		9		1073	1168	356		944	12265			977	5							1178					4													13						15						412					5			4		11							432	598				47299			7627											2	2041											6875		26				158	93	1									8	3478					13155		997		2586					13	20					
RUS	11194710	4999	230	763	43		501	48		247	517417		533	2897	752975			463		749972	463		93			83	505	27	425			5731	436	128	45	112	328	547			90	149		104	55119	58		203	87	569		31	108	314	2185		703	11047	10425		227				236	1041		102		57651	266				2169	2518					441793	139367	310		1916						200	128					16525	44	5594	160	1974	968	171		3580	1861		1005	801	2512343	443		84	580279	119	87715	949			264		69747	35	82	28	1527	45	71	52				63		200		45	20748	259		1081	109	615	118		171	538		85	59	29	781		49	687	51	714		24		36	271	144	28661	228		25	3651	288805		3837		45							46		214	71				49		1798	344		57	236		1368	576	556	254			467	569	3203	457775	251	213						329	10045	182189		571	80	2978217	349	1708	213	4502		118	1125335		96	13416		30	636	463	71
SVK	146319	126	76	84			20			68	118		222	2604	29					177	666						324		84			1808						363				116		22	856			44		18				664	113		87	73744			199				28	149				42	25				124	2454					65	3856	16		330												14561	38	122	22	104	62	667		149	2217		111	46	199	20		59	19		111	86			45		110	40						18						67			52	31		42						453		28			87			563		69					45	24	5564	131			435	92		6731	2287										28		1547						255			88		676		30				211	512	187		595	50						118	253					8258	55	4037		1764			37			1737			28		
UKR	4818767	2105									47150				82025					244715												1727													6539																									10188											64185	1080																	3804		2129				3740				3702	221504				26640		19432	1759					24337																			1732																							3068					149246			3265811																									1508						3708	29270									1351	22527								2729			219081			12349					
Northern Europe	11810676	95701	15453	29754		62	16105	521	3565	15621	6353	616	136605	30034	10548	1937	5846	216402	18247	117257	33490	1310	781	4154	971	8122	97148	3482	73696	262	5151	61282	373	8316	1948	2404	13122	93708		838	254	438	18006	43690	224942	110750	87	43841	159	14038	1	1503	9225	18653	6350		76787	47617	17276	22672	100004	591	6163	2718	11651	37171	3811	324	31103	54801	36602	12685	867	6155	199911	168226		78	379	16621	8398	423360	98041	10682	50403	15772	8980			2529	2935	2477	21261	639	2	1225	80363	20721	748397	14310	171823	241328	460748	9426	23421	160807	154612	43457	10098	23679	140996	165	15906	3793	1295	102724	54245	862	5533	18079	79	186964	3021	1611	16253	74118	380	571	28968			316	43864		14035		434	2919	1726	6970	40491	6424	17697	2729	28	52887	90046	116	64687	1426	416	220282			84212	3195	529649		1106	1127	1150	16309	174869	912691	109930	23	2637	32883	11514	14	131150	525866	5804	2604	5405	8802		7142	268	1	915	35023	2866	16982	3547	24288	42775		76379	3719	335	167884	209580	2	105577	148166	6010	21394	541	1519	132197	28314	32720	2257	12887	103658	1791	2260		309	23491	12226	181207	2367	100	2	63645	117505	12546	408966	38236	271334	120	4184	9971	155	11131	71692		12	18156	29403	122456
Channel Islands	77581																																																																											1866																											3731																																																														13060																																																							55971													
