Country or area of destination	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
Sub-Saharan Africa	15691999	124	140	10956			407579		469	2154	63		7447	5258		50	190	9786	25	206	8186		498854	51		140	174	41503	4202	19	19	3404	1362237	255830	16431		99947	7299			221141	181173		605	36696	1405		509	69462	97017			622217	858	4395		4224	1786	473	1044558	2763	3025				24563		55305	147358	124	120417			39	634	178896			35960	17342		62416	345966	46	7943					77	317598	51616	48					27	83215	1261	634	276	11039		3989	23679	166	2049	48		104853		108	31	27	360	8057	242392	171549	6930		344	69	34674	256135	833	82	747702	292			79899	14392	6294	248		22				5566	510556	185	93836	19	266	18955		2755	93	300896	341419	17	22	1345	27	12303		50	50	102	177	2185	8662	58363			2326		1144	1418	7574	303305	193	22						13330	2295	231520	3326	1290	58259	780		361	49		876730	97143	384124	4027	3825	243	510375		65672	923	2536	314		103	1039	8	334017			22	477	1012				582252	3570	222	157007	165836	26927	68	98			258	138			428	150293	588647
AFRICA	17007249	606	520	33298			407606		485	2389	441		8553	6493	31	64	1427	11134	25	1143	10377		498889	51		140	525	41503	4552	19	84	3469	1362299	255865	16431		100621	10423			221196	182249		631	40145	1405		564	74126	98871			623466	955	4395		4305	1976	570	1045066	3730	4638			12	45483	828	55305	149616	149	122655			39	1605	220155			35960	17370		78797	346732	55	11465					86	319308	52852	48				426	27	88679	16808	1141	79347	11129		4655	37327	166	4025	25036	912	105281		13535	90	27	360	22944	242392	171594	21614		344	69	34713	256162	11270	109	749300	292			82451	14392	6294	310		344	14			15389	510572	197	94087	19	266	21457		2842	93	301323	345129	17	22	1757	2039	15065		50	50	102	177	7127	9621	58406		1631	3242	59	1144	2175	21734	303347	193	22						13330	44856	236114	3326	1309	58529	1509		420	49		998630	97927	385700	8169	4361	408784	551188		65672	1919	4645	37114	724	216	4578	8	334017			22	5904	4102	256			582334	4507	3356	167989	166208	44173	68	98	440		290	138		143923	26796	150318	588679
Eastern Africa	4657063						38633						310					7581			680							4759						211844	6524		243	791			5166	5327			6370	20			69295	34248					39				155	679669	182	3025				5451			14680		46815					101872						1641	175		43														37413	126			44			1207		320			86278							7688		177				33824	199116	53	34	415					5575	6294								203811		1310		157	223					4265					2752						630		4256			182		857		447	153751										142		463							860450	40497	176704	109	1513		190890		86		92				214											574078			17937	154195	3226									358	89462	79904
BDI	235259																				497																																							137611																248																																			847																																																														52794																																												731				22974												
COM	12618																																																																											486																																			77													9689																																														857																																																			146												
DJI	101575																																																																						11141																																																																																																																									84118																																							240		
ERI	15676						341																											1029											133				189											1659											107					429																							117												345														759																	1088																															459																			2415	120	1465				205																			1498			56	517											237	319
ETH	567720																																	32																										83		3025							6354																																																																																																								122																			361609		122021				17102																			178														118		
KEN	926959																																	4256																										5531									1389		24091																																																																							589		67																													6201																			398753	110	53218				7459																			326978				39120												
MDG	28905																																												1784				9876																											8066																							1425																																																																																																																																						
