Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
WORLD	152542373	6724681	179490	906030	2041	3792	809942	2047	21747	430322	899683	10597	303406	505818	1634120	25172	12767	5451546	84917	1769029	365414	36114	233642	71703	28366	224687	863399	26037	500149	3094	26323	617155	1018868	337199	91681	354608	115311	997144	4325	373	46240	336916	18727	489955	4229860	551080	95648	1009148	40076	91302	17488	69724	370866	426201	835546	41878	174364	277514	38574	401962	202194	5281	42366	465022	213731	1321128	1241877	34972	170617	113928	1687517	7524	260	90156	250690	1197097	2848	3149	15208	36149	920441	3277677	373303	11994	1041455	9510	43250	5828	1376	343623	352590	55320	233660	527307	32	156553	386934	17635	6718862	1636326	629834	1506679	917639	10735	278956	3416421	588820	609032	313737	2972433	242119	4053	81482	522615	482094	215165	506600	191993	516719	76071	3430	341083	27828	58633	121365	562617	2192	647744	110735	1428	11041	134129	108385	1835	4394684	7714	4407	24155	78678	7188	1588218	2218009	685288	16057	1412	748046	728810	4151	388089	442037	132726	448460	5860	2525	138537	12534	3341574	2958	134703	3015	297925	313595	2029190	1533306	1880727	1200835	12204	1624797	625810	3087	813087	12664537	550719	884	20714	22006	485	37043	74861	1415	13941	107037	369263	708804	29376	60952	156201	14368	133461	91652	2212	846967	327661	514943	1449316	885836	1813068	587063	179657	35184	207067	323233	620868	536252	429555	309088	11261	193369	1684	32666	197522	453933	2530619	259991	2311	2350	311490	5549477	79540	3795662	204272	1736288	2362	237258	1429956	5060	185888	1235348	6484	168239	455442	83210	176697
More developed regions	82391619	119338	177192	851351	1027	3737	166746	540	14555	222418	654149	4640	244911	471667	1056582	23365	1730	160805	79548	1571715	338069	32179	14192	71550	455	42741	855982	2827	282279	158	6623	122671	6192	3751	79896	236452	49649	937447	2843	269	8992	3500	18625	187964	1458177	516749	14382	363807	18939	56389	17441	48021	48925	422495	774343	38671	163971	268717	14424	60761	194766	3439	23743	386354	164957	268813	507444	7290	25579	110189	114456	7522	237	85987	247005	861985	61	324	8573	12554	802697	2456479	126156	11920	890987	8997	23826	162	43	240573	14544	16017	206793	293209	11	114272	359584	17545	1230030	308106	516925	145152	909294	10735	166683	2854508	574958	430357	70267	2834662	154331	989	16296	483080	250850	200685	367739	363	18187	25186	3252	310331	27464	42709	11568	188073	303	51228	110489	1117	316	12935	99294		4349767	2764	4128	23989	78437	5174	1407705	78789	44676	1282	465	7163	665910	1268	371394	178897	3298	147701	5821	274	130212	713	445224	12	90071	1749	14467	226813	1345130	1346022	1477882	1180927	904	1382397	567292	125	661086	7568076	6563	539	9886	10108	433	18414	59558	1372	5848	24773	129700	705233	28945	18816	90287	13798	132902	89617	1115	66288	222195	1	926829	260005	35605	15018	160167	549	197343	285092	125340	471240	378026	203796	10514	18737	1523	29974	182904	404841	2439037	249217	221	1171	71017	4672151	5595	3463535	60911	885534	70	56562	1078599	1017	114635	1083015	884	333	11407	25922	40832
Less developed regions	70150754	6605343	2298	54679	1014	55	643196	1507	7192	207904	245534	5957	58495	34151	577538	1807	11037	5290741	5369	197314	27345	3935	219450	153	27911	181946	7417	23210	217870	2936	19700	494484	1012676	333448	11785	118156	65662	59697	1482	104	37248	333416	102	301991	2771683	34331	81266	645341	21137	34913	47	21703	321941	3706	61203	3207	10393	8797	24150	341201	7428	1842	18623	78668	48774	1052315	734433	27682	145038	3739	1573061	2	23	4169	3685	335112	2787	2825	6635	23595	117744	821198	247147	74	150468	513	19424	5666	1333	103050	338046	39303	26867	234098	21	42281	27350	90	5488832	1328220	112909	1361527	8345		112273	561913	13862	178675	243470	137771	87788	3064	65186	39535	231244	14480	138861	191630	498532	50885	178	30752	364	15924	109797	374544	1889	596516	246	311	10725	121194	9091	1835	44917	4950	279	166	241	2014	180513	2139220	640612	14775	947	740883	62900	2883	16695	263140	129428	300759	39	2251	8325	11821	2896350	2946	44632	1266	283458	86782	684060	187284	402845	19908	11300	242400	58518	2962	152001	5096461	544156	345	10828	11898	52	18629	15303	43	8093	82264	239563	3571	431	42136	65914	570	559	2035	1097	780679	105466	514942	522487	625831	1777463	572045	19490	34635	9724	38141	495528	65012	51529	105292	747	174632	161	2692	14618	49092	91582	10774	2090	1179	240473	877326	73945	332127	143361	850754	2292	180696	351357	4043	71253	152333	5600	167906	444035	57288	135865
Least developed countries	11073226			5587			593741			526			1465	190			89	2047			974		41733		16805			652	1631				40895	330554	11440	14322	33380	1879			26440	208385		333	245928	54		828	8549	25312		274	313312		1349		5		79	257417	195	904		2406		30538		355	134471		1432956			721		38686			5273	13035		4784	62598		41						200949	37630							462759	75246		5020	1			2415		9732			75003	1054	29		58843		7437	3610	477733	3708				10810	26559	92880		132718				107762	113		306						3711	1265161	226295	3080	921	10025	555	292	487		39015	116441			4240		17673			1160		351	818		13026	1546		356		957		1475	537260						21		3219	2132	196096		214	39039	10678			15	83	757435	42457	498608	1780	115	2697	246795		102	1141	686	2393	40537		32076		33039		24		221	6			377	149308	84	62	15797	74016	38334		286	2027	9	2510	71579			357	25400	47578
Less developed regions, excluding least developed countries	59077528	6605343	2298	49092	1014	55	49455	1507	7192	207378	245534	5957	57030	33961	577538	1807	10948	5288694	5369	197314	26371	3935	177717	153	11106	181946	7417	22558	216239	2936	19700	494484	971781	2894	345	103834	32282	57818	1482	104	10808	125031	102	301658	2525755	34277	81266	644513	12588	9601	47	21429	8629	3706	59854	3207	10388	8797	24071	83784	7233	938	18623	76262	48774	1021777	734433	27327	10567	3739	140105	2	23	3448	3685	296426	2787	2825	1362	10560	117744	816414	184549	74	150427	513	19424	5666	1333	103050	137097	1673	26867	234098	21	42281	27350	90	5026073	1252974	112909	1356507	8344		112273	559498	13862	168943	243470	137771	12785	2010	65157	39535	172401	14480	131424	188020	20799	47177	178	30752	364	5114	83238	281664	1889	463798	246	311	10725	13432	8978	1835	44611	4950	279	166	241	2014	176802	874059	414317	11695	26	730858	62345	2591	16208	263140	90413	184318	39	2251	4085	11821	2878677	2946	44632	106	283458	86431	683242	187284	389819	18362	11300	242044	58518	2005	152001	5094986	6896	345	10828	11898	52	18629	15282	43	4874	80132	43467	3571	217	3097	55236	570	559	2020	1014	23244	63009	16334	520707	625716	1774766	325250	19490	34533	8583	37455	493135	24475	51529	73216	747	141593	161	2668	14618	48871	91576	10774	2090	802	91165	877242	73883	316330	69345	812420	2292	180410	349330	4034	68743	80754	5600	167906	443678	31888	88287
High-income countries	75239010	269865	130506	870696	68	3747	166230	1364	19767	295653	76183	5113	256890	471750	33547	24343	2339	1038610	82908	378283	341469	32345	13875	71625	458	49737	495784	2633	302533	2979	6624	104707	5665	3595	79847	236706	48942	955026	3230	295	8873	15899	18630	191920	3393997	543947	83390	371559	18926	55889	17443	48999	48823	364144	792038	39123	163358	253465	5006	60941	193341	3439	33314	428041	167368	988912	508196	7264	33720	33763	221817	7524	242	86020	244824	920276	67	3068	8575	12552	85436	2341943	125922	11924	850206	9002	41916	210	1258	241209	14110	15677	218018	307389	32	115686	345011	17522	3220840	1262444	558435	260814	909863	10735	160317	2865574	584177	447810	220953	58669	154006	988	37136	7158	251279	83242	438825	374	18194	43988	3254	197421	27374	42610	11559	433218	170	51042	109923	1302	326	12944	99283		4354433	7613	3939	2797	55407	6971	1566509	78690	133895	1178	465	198216	676799	3016	374264	179710	3276	150030	5823	2140	129151	699	1364109	2577	92275	1752	16247	235120	1877166	1408466	1482462	1186217	964	1390454	61579	125	782241	1696178	6387	539	17764	18009	435	36004	59557	1346	5860	39846	129613	669796	28947	18818	98375	13931	127080	55158	1115	71322	231960	5082	978205	570988	62634	267235	160906	550	198343	287883	457665	9548	354377	232460	10514	18740	1523	29975	188544	447653	2462019	46257	2307	1138	70937	1013987	52769	3543224	60703	1243574	1567	61771	65706	4358	121817	1043808	6472	223	429974	25598	40644
Middle-income countries	68475181	6454816	48984	30942	1973	45	174216	515	1487	134162	823500	1108	46271	33878	1600573	785	10428	4412312	1867	1390746	22708	3769	178525	78	11103	174950	367615	20379	190098	115	19699	512448	972308	3050	8213	117902	33349	39862	1095	78	28838	308855	97	297659	790296	6978	12258	635974	1872	10627	45	20451	8911	62057	41623	388	11001	24049	33509	138965	8676	938	633	22579	46363	332149	733681	27658	67216	80165	1004248		18	4034	5866	121687	946		1448	10562	835005	931166	185575	70	191208	508	1329	141	118	102414	139915	2557	12415	193114		40867	41923	113	3117161	372978	71399	1245865	7775		118639	548183	3973	160640	92784	2913764	19661	3065	44346	515457	229895	131923	60011	188009	20792	30887	176	143662	454	788	31753	129272	2022	471844	812	126	342	13141	7981		39935	101	468	21358	23271	82	18304	436930	551393	14509	947	549830	44446	292	11294	262327	90570	205357	28	385	9384	11835	1965418	381	42428	1253	281678	77728	150908	124840	389487	13049	11240	228256	564231	1143	30846	10966911	7118	314	265	1012	50	955	15148	69	7974	65332	136902	39008	215	3095	57826	141	6381	36479	1097	156197	53289	11253	469393	314650	1750434	91681	1454	34583	7594	34586	162988	486167	75178	76396	747	141694	161	2643	8889	6280	68594	213734	4	1151	166212	4535406	26771	227178	76599	482311	551	175201	1362223	550	61107	190824	12	168016	25400	14442	123177
Upper-middle-income countries	33412332	3152582	48446	4728	1954	43	37435	515	1428	110950	767233	1099	19915	32649	1004974	742	1440	34282	1796	887449	20464	1718	16857	78	13	174543	367272	19646	177525	115	3259	509624	2817	2897	108	74902	19086	27958	1082	10	260	2432	97	291754	223910	6706	12258	633504	1441	8666	45	11459	3058	61914	39481	278	10879	23126	30696	15746	7873	695	627	22270	45229	110351	369556	26868	1929	67176	5405		18	914	5212	70955	933		375	141	741974	863749	9652	63	184100	239	1328	141	5	89633	2129	573	12414	193023		9988	41018	111	60483	281978	49674	1206517	7426		14331	537390	3893	131006	24495	2468541	4795	2074	8350	449222	165694	107830	47029	187710	309	3801	174	108135	447	738	14606	14863	191	18016	806		342	588	5434		22125	101	404	21314	23271	82	7692	347999	234764	11301	26	21400	41585		7803	111840	332	28463	28	282	4837	1595	26627		40905	84	280370	69612	141398	108806	381154	12678	945	213232	369602	1143	24002	3510798	2867	314	264	1012	50	955	15137	69	2387	23877	13402	38973	200	743	32914	109	6294	36479	690	8720	20288	5219	461125	20471	595184	55109	1425	34532	6677	31579	85496	436941	74811	40419		7105	161	2572	8885	2713	60052	175728	4	774	5738	3963480	5402	174388	2888	372371	494	174515	1177624	387	60075	82891	12	168016	17333	13174	88436
Lower-middle-income countries	35062849	3302234	538	26214	19	2	136781		59	23212	56267	9	26356	1229	595599	43	8988	4378030	71	503297	2244	2051	161668		11090	407	343	733	12573		16440	2824	969491	153	8105	43000	14263	11904	13	68	28578	306423		5905	566386	272		2470	431	1961		8992	5853	143	2142	110	122	923	2813	123219	803	243	6	309	1134	221798	364125	790	65287	12989	998843			3120	654	50732	13		1073	10421	93031	67417	175923	7	7108	269	1		113	12781	137786	1984	1	91		30879	905	2	3056678	91000	21725	39348	349		104308	10793	80	29634	68289	445223	14866	991	35996	66235	64201	24093	12982	299	20483	27086	2	35527	7	50	17147	114409	1831	453828	6	126		12553	2547		17810		64	44			10612	88931	316629	3208	921	528430	2861	292	3491	150487	90238	176894		103	4547	10240	1938791	381	1523	1169	1308	8116	9510	16034	8333	371	10295	15024	194629		6844	7456113	4251		1				11		5587	41455	123500	35	15	2352	24912	32	87		407	147477	33001	6034	8268	294179	1155250	36572	29	51	917	3007	77492	49226	367	35977	747	134589		71	4	3567	8542	38006		377	160474	571926	21369	52790	73711	109940	57	686	184599	163	1032	107933			8067	1268	34741
Low-income countries	8533974			4137			469496			466			105	190				624			918		41242		16805			3025	1263				40895	330554	3621		33020	1718			8529	12162		333	44515	97		828	8549	24786		274	313132		1264		5		59	202056	177	904		2406		67		50	69681		461452					38235			5185	13035		4443	61806		41						198070	36563							380769	845			1			2352		506			68452						7331	3610	477733	1196				10810	78053	127		124664				107762	113		306						3405	1702389		370			532				38880	93073					12047					438	1116		7264	1546		6087		957		1448	537214								107	1859	101843		214	39039				15		619448	42341	498608	1703	198		228147		51	1130	675	30	40537		232		32935					6				74341	84		23637	66970	9357		286	2027		2510	716			68	43170	12876
