Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
Sub-Saharan Africa	14690319	123	78	6692			637190		693	762	94		5294	4444		74	233	2649	30	113	7386		219401	61		158	147	23203	2780	23	23	3881	1012582	333379	11714		65463	4759			37174	319666		698	19777	1877		118	19472	33304			320431	479	1636		949	1065	395	340588	1424	904				23074		27679	134992	68	1447048			47	692	110815			6625	23548		51864	246125	26	3232					90	336691	38507	54					16	31637	1326	725	219	6093		2631	13591	192	1554	54		78939		119		33	199	10063	191613	498483	9297		192	83	15847	109771	925	56	595183	163			118609	6540	1800	82		11				4990	2138126	211	14389	23	152	19116		1480	106	129004	293024	21	28	728	33	3790		59	59	116	203	1930	1905	34245			2014		2100	818	4331	544093	220	26						8081	2736	235458	1964	414	41976	427		201	15		731923	93586	504409	1859	1701	232	231892		34614	1524	5388	314		59	265	11	174628			26	401	850				238297	2314	237	150855	142596	20317	20	111			296	156			440	56176	135722
AFRICA	15690623	1037	504	31772			637213		707	1084	784		7318	7204	24	85	1706	3079	30	1061	10935		219447	61		158	236	23203	3307	23	88	3952	1012649	333426	11714		65598	6036			37225	320842		719	21622	1877		183	21133	34690			321783	603	1636		1047	1315	512	340970	2499	1841			9	33336	618	27679	136373	82	1449233			47	1419	143877			6625	23584		97661	246949	33	8268					97	338041	39300	54				473	16	34726	8035	1242	7546	6204		3626	37604	192	7165	15394	545	79445		9647	48	33	199	21482	191613	498523	16242		192	83	15895	109794	12001	60	596506	163			120940	6540	1800	153		249	1			14297	2138140	220	14768	23	152	23232		1594	106	129376	295400	21	28	1136	1715	5281		59	59	116	203	4536	3475	34289		1106	3102	48	2100	1689	46515	544152	220	26						8081	23326	239401	1964	429	42134	694		272	15		738138	94319	509162	6392	2660	242419	294802		34614	2903	12232	25911	180	206	3994	11	174628			26	4073	3817	79			238388	2570	2023	165506	143197	52058	20	111	328		322	156		167905	17828	56202	135760
Eastern Africa	5964031						124741						148					132			795							3494						310450	3144		10	548							2135	91			19278	15858					20				52	216199	176	904				235			69681		501552					47802						1247	484		41														16117	2			30			824		240			68910							3610						15325	95126	36	2	220					1379	1800								1744687		2849		27	215					185					1521						61		6499			61		957		418	517236										115		257							728550	48813	391000	87	325		181106		51		66				5											139632			24647	140364	1807									357	43170	47501
BDI	333110																				642																																							36654																321																																			186																																																														221943																																												1833				11912												
COM	14079																																																																											543																																			87													10810																																														957																																																			163												
DJI	122221																																																																						13405																																																																																																																									101216																																							289		
ERI	11848						247																											618											8				27											407											1284					108																							39												187														114																	3537																															991																			1438	97	933				131																			175			34	218											91	82
ETH	1155390																																	19																										48		904							69681																																																																																																								71																			616940		384266				53857																			103														68		
KEN	297292																																	99																										394											26695																																																																							1043		119																													3874																			7875	197	5801				814																			83355				66464												
MDG	23917																																												1481				8179																											6672																							1171																																																																																																																																						
MWI	1127724																																	705																735										1338																																							1362																																											1075410																															2249																			211	1276																											769	3279											5637	3851
MUS	3613																	71			76																	36							346	91																														788						57																	515				30			38		23																56		36																															1															34													43								184		15	9						66																		694		37											
MYT	15229																																																10288																											1359																																																1086																																																																																																													
MOZ	122332																																		3144																									186																																							1143																			3531							2103																																866								6499																												28813																												2935											1288	8455
REU	57210																																																441																											37516																																																3339									1008	1800																																																																																																			
RWA	159869																																	26238																										62526																																																			955																																																																																																										34106				15825												
SYC	3721												67					11			32																								58										20																					180						40																	1276	2						22					25													34			2						258													27						25					23						61									79																				11	83		11	316										5											5			274													
SOM	478294																																																																						460000																																																																																																																																																																		
SSD																																																																																																																																																																																																																																									
UGA	558307																	50			45													50561				101							142														52	67995	176										168					250						234			41														1359							404		71			33424																															234					215										224											61				305	219499																			392			61			126304																						1071	32638	503											
TZA	574025						717																					80						232210				184											343	15007										19354																						605																	4968							360					33613							79							7218								113									144353		370													407																68609												214							467	409							51																	19706			682		808										18188	488
ZMB	279029						123777						81															469									10	227							100					116										27297						235										65						311	484																4284									146			433														17073			220														41255		2360								160																															115										6328																								349			1987	6930	459											34625
ZWE	626821																											2945																																																																																																	68618																	478855																																																			11426																											19136												17966	
Middle Africa	1460530			34			479606						9	20							154		20472										2158	20255	7819		50294	109			18683	110184			390					9809			1053		164		5		50	95515	1					67		27629								37920			1338			205	1965								1668												1		5	7		10									1130			1096								22057				965									221	340		345			19				2614	127434													5946			60				953	23083								5587		12884							15			2522	113409	324			47518			10	150	9					7857				69	6				18418					696										119	
AGO	33517																																		3569							12								410			5							12178																															131																																																			97		345																					5298								46								3112												2437																																							119	
CMR	265344																																									95527																																		11808																																																																												105140																																																																																	
CAF	67234												9	20																								19				10010															5			13173	1					67										10537																											1			7																						351																			19																									163									88									15			81					22094			10	150						5					6									476											
TCD	74342																																				30992				8067									715										98																886			292																																									1096																															2614	14822																																														9529																																			
COG	129597						10334																4357														3464				10616	3239			283										164					67316								485								8574			970			178																																			358											4678				965																																	442							790											3468																									747														51											
COD	754194						468462																											20203																3647																																																																																																																											22972																					113409				15895																			18418																
GNQ	2740																																				202																																							1154			65																																																																									91																													378														324																																						
GAB	127980			34			342														154		16115										2158	52			15636	90				1396			107					5037			1048						50	2750								26839								4961						27	1965								1537														5			10									772											17028													221											7381																60					65								2009		9416										4										9					7105				69										169											
STP	5582						468																												4250																																	305											11																																																															243																							206																																																																				
Northern Africa	2403200	914	426	25080			23		14	322	690		2024	2760	24	11	1473	430		948	3549		46				89		527		65	71	67	47			135	1277			17962	197340		21	3523			65	1661	1386			1352	124			98	250	117	16237	1075	937			9	31717	618		66171	14	944480				727	33062				36		45797	824	7	5036					7	1350	793					473		5348	6709	517	7327	111		995	24013		5611	15340	545	6624		9528	48			11419		40	9333				48	23	11076	4	2381				2331			71		238	1			9307	14	9	379			4116		114		372	25584			408	1682	1491						2606	1570	44		1106	1088	48		871	42184	59									20590	3943		15	158	267		71			6215	733	4753	4533	959	242187	62910			1379	6844	25597	180	147	3729						3672	2967	79			74524	256	1786	14651	601	31741			328		26			167905	17388	26	38
DZA	273954																																																																											2086						6544																		1000		918				3143			2286				1420				1564			1982						1651																																														6287										3068										926					36004	9127					3550																	2060		4509								167905	2593		
EGY	173708	237	111	543			23		14	322	179		525	716	24	11	382	112		246	672		46				23		137		65	71	67	47			135	331			51	305		21	479			65	431	26			208	124			98	250	117	99	279	243			9		160		358	14	567				189	3089				36		9692	214	7	1306					7	182	70					123		801	1481	134	1359	111		995	4657		1455	3386	142	131		2103	48			2317		40	2936				48	23	2445	4	241				152			71		62	1			527	14	9	379			1068		114		97	586			106	436	387						677	407	44		287	282	48		226	9311	59									4546	384		15	41	69		71			1372	190		449	249	53328	15184			358	1775	5259	47	147	967						495	770	21			91	67	464	3051	156	6679			85		26				3839	26	38
LBY	457075	677	315	1551							511		1499	2044			1091	318		702	1918						66		390									946				871			1366				1230	74			594							283	796	694				8384	458		1023		1618				538	8821						27674	610		3730							200					350		2288	4228	383	3879				13295		4156	9668	403	375		6005				6615									6980		688				433					176				1505						3048				275	1674			302	1246	1104						1929	1163			819	806			645	26586										12976	1096			117	198					3917	543	4753	1282	710	152266	38599			1021	5069	15014	133		2762						1414	2197	58				189	1322	8712	445	19067			243						10956		
MAR	54895			9188																	959																													1286																1271										15056						984									673											1171				1296											923			803												1088																																																			1233												2802								1399									1763								828		1250											
SDN	1402896																																								17911	196164			1678															15855						21455			64790		942295																												2259												6118									2388								1058																								23208																																																																	74433																
TUN	37984			13757																																																	550													607										3870						903																								1622														1224								200				376									7275											116																															325														589						375																			236											
ESH	2688			41																																																																								140															495	523																																				194				282																																																			905																																																		
Southern Africa	1392359	123	78	1064			31185		693	697	94		5120	4424		74	233	2517	30	113	6136		422	61		158	147	19709	1769	23	23	3881	105	2674			2478	3272			118			698	14319	1786		118	194	2955			1160	479	1322		944	1065	286	12695	1247					1094			521	68	3185			47	692	6401			306	128		47679	6820	26	3191					90	157	30	54					16	11628	1324	725	142	6062		2602	12032	192	1238	54		3903		90		33	199	971	188003	310	210		192	78	522	14645	889	54	104	163				5161		78		11				1058	393048	211	11195	23	125	18391		1480	106	21	17634	21	28	728	33	2222		59	59	116	199	1849	1871	19903			1677		1143	818	1865	2626	220	26							604	2728	1964	157	626	427		201			3373	41941		996	1361	97	2913		34563	394	4902	113		59	260					26	111	844				5814	2202	175	123191	2226	11799		111			296	156			83	12887	88221
BWA	27510						551						120																									112							874															526	102																					332																	1967				185			161					122							505						100	713								292									184		286			188					108			116		145								137																				45								5780			398				108	129																295			3289	460	603										1991	4905
LSO	8240																											103																	162																																						122																308																										51																	32		5													308																																				2777							51																	185				116	95										77	77
NAM	120641	64		716			24028		693	74	94		793	901		74	72	48			272		230					975	790			45	105	575			175	279						48	4593					1652			45		1005			112	149	4707	168					257					312				116	793				128		13401	212								79								997	133	45		89		161	1219		168			1641						68	186		52			64		545								158									203					763		74			1453			79		246						364	249	641			52			45	672	530										45		84	242						138	12536		508			294		290	149	634				109							52				712	380		2540	1624	1553										4473	21364
ZAF	1163883	59	78	348			6602			623			4199	3523			161	2469	30	113	5864		192	61		158	147	18470	979	23	23	3836		2092			2303	2877			118			650	8690	1786		118	194	1302			1115	479	317		944	953	137	7456	977					837			521	68	2873			47	576	5608			306			33946	6486	26	3191					90	78	30	54					16	8356	1191	680	142	5788		2441	10652	192	1070	54		2140		90		33	199	903	187019	308	158		192	14	422	13336	889	54	104	163				4711		78		11				1058	346433	211	10904	23	125	17440		1402	106	21	16073	21	28	533	33	1523		59	59	116	199	1485	1622	19125			1625		1143	773	1193	2094	220	26							604	2683	1964	28	384	427		201			3233			488	963	97	2619		34114	116	4268	113		59	151					26	111	792				4621	1822	175	117362	26	9267		111			296	156			83	6346	61875
SWZ	72085						4						8															161						7				4												1										6																																																										293	2																							46196							4																								2																			2	20848																								1					281											
Western Africa	4470503			5594			1658			65			17								301		198507						1011				1010319		751		12681	830			462	13318			1255					4682			318218		130				7	324						223		50			16					18692			4981	23420		2733	236856								334866	38477							1633			77			24	728		66			8		29				7962		498173	5603			5					571744				117644			4						3711	51					491				126369	124563					47					4	20	34	1897			216				1095	1148								2494	2132	219731			41350							310		452	15	135	355			1120	270	192				11	166771				221						112	62	3017	6	6015	20										
BEN	76212																																1240									367								537			7735																							506							5747																																													726																							9802	19972																																																								17244																									
BFA	349657																						2054																														243776																														24542																																													37576																							8275	2542																															1983																									6131																									
CPV	8931						1588			5											14								77																30								9		69																					102			11	7		25	55								60	539														201		2															5					9							4							51					62					84										4			1132							55									2475		141			19									30							18					11											28		14		188	20										
CIV	1816426																						51216										927756		274																																													10359			99487								133914	308																											2793	5379								422476				9873																			50297	31352																															23556			620																						25298																									
GMB	118123																																																																																										24859	7591																											153									5697				2005																																																			72943			1435																																															
GHA	164851			7									17										8959						7				41668				61	147				8			121								4902							16						21					16					117				19											74								454						24	123		30			8						525		9824									3592				9															131				4229	14876					47						20	34								47	268										53			119										15		18				104	37					61553												972	6	437											
GIN	403621																				207		2351						248				479		98			297							134								2472		61																					1642				811		849										2798														102		27											342691									15549				384																			1393	910													237			138				478										682	6770			15985									59								30					1468										84				552											
GNB	15368																																		355			37																																						71				960											3170																												3906													359																																	528																		5053			87																																				200											
LBR	94964																						63										388					247															2182																							296				656		928	9952								32485	2263							774							252											4230											1970																			298				1127	2393																															243			7943									286						1120	148						250												1146		2959											
MLI	160736			380			70																542										23024				592				283				301					4022			48556																							2689			4463	595			1913								19164																												586													14942																			3571	1590																				384											12899			1227																						893														233											
MRT	111650			1450						60											56		491						143								350	46				47			142								175							31						202													77				186								2748	1067										77				50							29				106			124								6776													306										135																	63				56										273	94138												77		135						125					104				221							62			99											
NER	115464			293																			8948										9596				265					1443											4425																														4184																																					100								31142																								38319																															732															337										5521																									
NGA	456621																						96599														10242					11111																																									75322																																				7823									14578																							35442																																			1553																						46886																									
SHN	383																																																																																																																																																																																																71																											274													
SEN	270410			3464																			2984						536								837																2322																							11453				4263		721	1476								42570	23825																									911											28161				89862									3405										1397	701																														1177				12313																						1380														662											
SLE	222242																						262										35		5			38							280								74						7																					5240		135	1307								74269	24							405									7									2190		130316									1953				142																			161	2116																15				75											737										239															43												611		506											
