Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
MDA	247828														1708					5768												210																										236																							1616	779			69												316								70	212				8989																												79																										361	183						2342	103131																																									160					112007							1833								
ROU	126949		639	7							1			507				7			223								4			18349													1986										1		46	517			51					19										891						2174			4086						1						5318				851	944	66		743	2335			765								945																		9						8						264					1			2		1							397	107				36316			7238												1879											202		18				85	60	6825									4	2645					12944		416		1348					7	8					
RUS	11900297	11486	915	1033	1029		404	286		543	478856		699	3894	841759			753		930977	824		320			331	648	189	590			8749	592	153	47	148	488	385			129	112		662	60177	34		249	13	341		33	85	250	2246		437	13987	8456		2556				280	1425		37		67055	293				1994	1436					625743	149414	231		1882						351	264					18565	56	6072	283	2461	959	156		2345	894		679	999	2571681	355		170	461140	68	101991	1225			339		85756	87	130	7	490	109	132	636				213		162		238	23503	545		1220	96	256	82		395	368		180	60	21	876		273	1210	40	1002		61		126	595	154	33418	117		97	1948	276101		4477		154							41		229	100				60		1036	113		109	229		831	829	1248	361			324	415	3332	381090	234	80						426	8962	174352		33	84	3541839	230	800	211	2915		500	913322		369	23695		119	574	245	243
SVK	116376	99	60	66			16			54	94		176	2070	23					140	529						257		66			1437						288				91		17	681			34		14				527	90		69	58709			158				22	118				33	19				98	1952					51	3067	12		262												11565	30	97	17	82	49	530		118	1764		88	36	158	16		47	15		88	68			35		87	32						14						53			41	24		33						360		22			69			447		55					35	19	4425	104			346	73		5353	1819										22		1230						203			70		537		24				167	407	148		473	40						94	201					6568	43	3211		1402			29			1381			22		
UKR	5527087	2416									54082				94083					280687												1983													7502																									11687											73621	1239																	4364		2443				4291				4247	254065				30557		22289	2019					27916																			1988																							3520					171185			3745842																									1731						4255	33574									1550	25840								3132			251285			14166					
Northern Europe	7900973	22765	3242	14735		31	7033	677	3768	11113	3837	781	114299	28331	6847	1804	4314	154677	21070	150981	25389	1202	328	2960	128	3941	89382	2263	24407	336	2736	11796	172	2397	912	1403	3999	82005		1072	325	232	12721	38979	169854	77762	28	24968	78	4998	1	871	3643	14702	3217		76038	16864	518	9821	84163	320	6576	1113	4745	28627	3108	65	10057	26253	23874	12117	1110	3453	219177	113133		100	142	7809	5586	353483	58104	7545	47256	12853	9525			1754	525	500	20520	410	1	794	33315	15136	480093	9667	114878	103710	522071	6642	15714	119522	142136	42044	5413	20534	129197	170	7894	2627	930	29326	44295	426	2417	10025	47	52335	1788	1250	12125	52307	203	251	29575			96	27041		7336		248	1050	2670	8937	26311	3693	9961	1405	6	6435	56178	147	59570	909	284	98156			74676	2061	341139	1	774	1072	785	9914	61460	164540	43972	14	1138	35728	6207	15	28520	608211	2803	3337	6306	8031		6868	306		87	10399	1147	12169	2890	17430	40700		10934	2104	307	77311	145072	2	67670	87543	1146	12265	336	915	101939	22578	20394	1902	6254	37961	2298	1071		168	21378	7331	124052	1844	128		57376	114039	6133	269879	34000	213109	152	3667	6481	127	5081	56740		2	12490	22048	50067
Channel Islands	64301																																																																											875																											1731																																																														3525																																																							56856													
DNK	371026	2941	84	907		1	106			965	459		1638	1525	95	9	95	398	24	144	1233	5	33		9	149	18844	61	1542		4	666	21	241	18	129	137	2862			2	2		1326	3580	491		2040	16	84	1	93	311	579	170		151	217	258	169		16	9	77	379	1282	50		84	460	1081	10636		21	3826	4238			5	483	83	28060	965		1093	12489	7			133	54	31	99	130		69	1641	5955	4391	633	11483	12988	1153		1454	3333	132	1323	967	43	996	2	962	2	24	667	12396	40	106	170	11	944	226	22	47	404	2	26	58			26	110		461		7	17	1965		4881	122	64	37		118	4835		545	122	9	558			16652	13	10049		37	7	54	547	3929	10954	681		31	8273	67		1993	3493	129					8	10			191	81	5891	21	255	379		121	64	2	11586	984		2747	8005		206	26	40	19772	1922	1304	7	1322	5596		99		7	151	723	30089	4			941	695	192	14074	792	8596		204	42	4	389	8651			141	342	268
EST	249512										595				1437					14756																		60							124																52														1369	88					1572	970															76		53											3808				565		4289						2083																58																										496					870			188970																													188			355										371				24457		64		191			1082								
FRO	3593																												6			3						5							1			43													2528										1											16				102												218	38												2																																												129							1	20	49				37			11	9												13									1								59					17						3								88		26											
