country	Life Ladder	GDP per capita	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption	Confidence in government
MAR	5.312	8.915	0.641	65.339	0.814	-0.228	0.841	
MOZ	4.280	7.047	0.678	49.958	0.823	-0.022	0.682	0.759
MMR	4.154	8.635	0.795	57.641	0.886	0.629	0.619	0.824
NAM	4.441	9.203	0.828	55.495	0.810	-0.202	0.831	0.746
NPL	4.737	7.801	0.816	61.266	0.845	0.147	0.770	0.560
NLD	7.459	10.792	0.937	71.620	0.920	0.237	0.363	0.670
NZL	7.327	10.476	0.955	71.614	0.942	0.285	0.222	0.609
NIC	6.476	8.575	0.838	66.252	0.922	0.010	0.673	0.590
NER	4.616	6.831	0.582	51.326	0.684	-0.012	0.778	0.601
NGA	5.322	8.586	0.733	45.873	0.826	0.113	0.835	0.559
NOR	7.579	11.082	0.950	71.087	0.953	0.210	0.250	0.717
PAK	5.831	8.519	0.690	57.463	0.713	0.030	0.714	0.557
PSE	4.628		0.824	63.072	0.632		0.831	0.414
PAN	6.568	10.003	0.912	68.045	0.900	-0.164	0.841	0.391
PER	5.711	9.413	0.830	65.407	0.827	-0.167	0.895	0.255
PHL	5.594	8.939	0.851	60.251	0.926	-0.148	0.711	0.838
POL	6.201	10.211	0.882	69.097	0.831	-0.133		0.502
PRT	5.711	10.237	0.900	72.159	0.905	-0.183	0.881	0.501
ROU	6.090	10.029	0.811	66.857	0.839	-0.164	0.926	0.298
RUS	5.579	10.104	0.896	62.979	0.731	-0.159	0.862	0.557
SAU	6.294	10.812	0.840	64.084	0.814	-0.157		
SEN	4.683	7.812	0.744	57.981	0.687	-0.029	0.825	0.611
SRB	5.122	9.562	0.884	65.685	0.685	-0.081	0.851	0.511
SLE	4.090	7.253	0.652	44.387	0.711	0.089	0.848	0.738
SGP	6.378	11.317	0.897	75.812	0.926	0.120	0.162	0.927
SVK	6.366	10.314	0.913	68.774	0.714	-0.072	0.920	0.342
SVN	6.167	10.354	0.928	70.943	0.921	-0.033	0.829	0.240
ZAF	4.514	9.405	0.870	55.229	0.787	-0.139	0.865	0.423
KOR	5.874	10.490	0.807	74.042	0.538	0.003	0.851	0.359
SSD	2.817		0.557	50.020	0.456		0.761	0.462
ESP	6.230	10.445	0.903	74.498	0.756	-0.042	0.791	0.270
LKA	4.331	9.378	0.823	65.293	0.827	0.085	0.844	0.518
SWE	7.287	10.770	0.914	73.007	0.935	0.155	0.239	0.559
CHE	7.474	10.956	0.950	73.174	0.925	0.168	0.316	0.820
TWN	6.359		0.891	71.210	0.760		0.743	0.323
TJK	5.829	7.957	0.663	62.971	0.832	0.125	0.718	0.930
TZA	3.347	7.896	0.705	56.665	0.800	0.107	0.654	0.913
THA	5.939	9.688	0.877	66.419	0.923	0.202	0.884	0.605
TGO	4.361	7.252	0.508	52.257	0.717	-0.038	0.726	0.485
TTO	6.192	10.324	0.916	61.738	0.859	-0.015	0.911	0.273
TUN	4.124	9.294	0.717	65.881	0.478	-0.234	0.869	0.251
TUR	5.607	10.119	0.876	65.795	0.644	-0.247	0.671	0.586
TKM	5.229	9.703	0.908	60.393	0.720	0.040		
UGA	4.001	7.443	0.740	51.763	0.772	0.072	0.816	0.655
UKR	4.311	8.968	0.858	63.173	0.599	0.016	0.937	0.111
ARE	7.039	11.122	0.836	68.582	0.962	0.191		
GBR	7.103	10.585	0.937	72.056	0.813	0.281	0.419	0.440
USA	6.992	10.900	0.921	69.771	0.868	0.182	0.681	0.387
URY	6.336	9.918	0.914	68.380	0.898	-0.105	0.627	0.413
UZB	6.421	8.763	0.942	63.166	0.985	0.114	0.465	0.965
VNM	5.175	8.743		66.246				
YEM	3.254		0.790	54.981	0.595			0.248
ZMB	3.933	8.212	0.744	53.804	0.823	0.130	0.740	0.717
ZWE	3.638	7.538	0.754	52.674	0.753	-0.066	0.751	0.683
